id	filename	md5	size	state
ebaee947-73d7-444f-911d-9eeb3d01c562	TCGA-LGG.e9d6e38b-556a-4d64-b90d-68361e211fc3.ascat2.allelic_specific.seg.txt	0268844bec356a6f9b90e1be6bb3922d	9034	released
d73f09c4-c20b-4ec5-9603-7f302179cb70	d73f09c4-c20b-4ec5-9603-7f302179cb70.vcf.gz	f9851941090a8e71e92e0353fed44af8	83474	released
62d68ebb-44e9-49b1-b231-84e7222aa1f6	62d68ebb-44e9-49b1-b231-84e7222aa1f6.vcf.gz	509d304ae6e19896f386dc640fb8d9b7	28496	released
1667ba6d-163e-493c-b20c-67e1b0f5b136	nationwidechildrens.org_ssf.TCGA-QH-A6X5.xml	6c80ce2dc176c618f119fb7c704b8274	16087	released
2db0c57b-c147-4586-b77a-635e1c24bd03	jhu-usc.edu_LGG.HumanMethylation450.13.lvl-3.TCGA-S9-A6TU-01A-12D-A32C-05.gdc_hg38.txt	cea9faa109b698ad93e588704d00fe4b	141281644	released
56f109d1-22f2-4c95-9793-5ad18b1edfb2	nationwidechildrens.org_biospecimen.TCGA-DU-A7TJ.xml	52b353ab282c6c7a175ace9e50344ca5	53960	released
59a6ecf6-0673-4a29-af36-8ba90d09a8f8	ASPER_p_TCGA_b_306_308_146_NSP_GenomeWideSNP_6_B02_1365498.grch38.seg.v2.txt	e571186c6c79cdd96dac25d5ad9ee508	38032	released
5a857158-9b0a-4b72-b07e-34aeafa61d7a	b955d22c-1caf-40de-9220-1e4d54608d88.mirbase21.mirnas.quantification.txt	91086bb1214f2ebc49dc2ce643c87a75	50756	released
3fbe5264-8d3f-4345-8a57-53d04e1e2f48	nationwidechildrens.org_biospecimen.TCGA-FG-A713.xml	4d7644ac613a2308e3a0cc9e8eb64954	57072	released
888bb18b-2b21-4d5a-b4e0-0b66144411fb	651ee1ba-48ed-40b2-b344-03fb6cd3725a.mirbase21.isoforms.quantification.txt	846df2c451ea6d099f36a663d197ef2f	309943	released
84b9ea9f-cdf2-416e-9f62-1781bad8fd27	TCGA-FG-7643-01A-01-BS1.9d947a49-5a46-4b01-9e71-1400bd51c2db.svs	1f6b2eb8e3117e70b084de1e96e7adea	59635493	released
d30a29bb-775a-487a-920e-bf11b4c85ab7	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_H08_1148538.grch38.seg.v2.txt	24adc843aff01eb012f354b11ef2cbd7	35465	released
df984545-2992-416a-b037-86225ad57fe2	d5056524-7846-420f-8705-f67e32b8dfa9.FPKM-UQ.txt.gz	646e16b40b900db4ee21d619568d6df7	532333	released
3011867e-1c3b-4791-849e-4e7d636ddc88	46ac364a-6eee-4ddf-8a86-30d5d93e69d9_gdc_realn_rehead.bam	e942719b10b1fc512b9d6ce467cccfd5	5578347546	released
93f2e79c-db84-4d3c-a8f7-019517a4fe36	93f2e79c-db84-4d3c-a8f7-019517a4fe36.vcf.gz	e9cf0c65316510b9c44ac93e338d1037	203390	released
131ce618-f6a2-41e1-93d3-2ed08af171fb	131ce618-f6a2-41e1-93d3-2ed08af171fb.vcf.gz	f56e9c99d7ccee67bbfc4e5f5efe5472	93741	released
7c357e29-c88a-4583-ab2f-509132b9d6a9	NICHE_p_TCGAb3_67_68_69_70_NSP_GenomeWideSNP_6_D09_1438994.nocnv_grch38.seg.v2.txt	30b681659bcca8beaa385eca8748a5b4	5313	released
1eeffa56-9e51-4d90-af6c-25262cb94f15	0a125b8b-b9b7-4dfd-8ec0-705d996ec954.htseq.counts.gz	1ae100b42877d289bae04d4205ae34b7	252980	released
9d466485-24ca-40b0-9121-45a0b9fbf57c	bd118e30-6764-4adb-8a5e-0a80bd6c6d74.FPKM-UQ.txt.gz	74902b876b28760317fcfc023c535f12	538141	released
3267c27d-f63e-4b5a-a644-711ecc39e78c	TCGA-LGG.a8c8d504-d374-4d56-9fb9-ba8a498a50c3.gene_level_copy_number.tsv	ec5a872350f603f6ee73d3c2d0fc8818	3482251	released
003606cf-5f5d-4979-9743-b15e794082c0	003606cf-5f5d-4979-9743-b15e794082c0.vcf.gz	186253f9db641f39a1266282f51f6250	37537	released
15574f0c-4bc6-40f9-817e-37d1e7aa622d	TSUBA_p_TCGA352_119_144_221_NSP_GenomeWideSNP_6_G08_1377068.nocnv_grch38.seg.v2.txt	985a8c1f1026f0df99a52bbbb8a6a2a1	3692	released
19764495-da3f-42d4-91f7-a64c8e626ddb	TCGA-LGG.d7c80686-e980-4b4a-9be4-7f90f55800f0.ascat2.allelic_specific.seg.txt	e64f28e5499359906775625134612ba2	6052	released
a372d4c5-129e-4473-8846-301b2df5822b	LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_F08_914472.grch38.seg.v2.txt	370ff69e50d1b4a38e34de866622f183	28200	released
6625e57f-47f3-4dbf-a890-20675f9529b8	nationwidechildrens.org_clinical.TCGA-HT-8107.xml	6ea4813b4d6eac5a08a045a66acbd483	30868	released
8eecc5de-cf0b-4ce6-8ae1-b322182e1e76	RICER_p_TCGA_245_N_GenomeWideSNP_6_E10_1270928.grch38.seg.v2.txt	1d1e4bdf425c7f6f899fec0c85125660	24272	released
93276a14-51b0-4af4-85fd-6aa26f7840e1	93276a14-51b0-4af4-85fd-6aa26f7840e1.vcf.gz	b0ddec76ca2e222488d70c9467aca5c4	43070	released
a4c62a4c-32f7-47cc-bb4b-062a558f2472	TCGA-LGG.cd195673-7373-417f-a34f-10961287acc2.ascat2.allelic_specific.seg.txt	0d923aa7e8c9d99681dfd63aec945123	6907	released
e4dc734b-5825-41b0-a3b5-4f7c7539f4fe	e4dc734b-5825-41b0-a3b5-4f7c7539f4fe.vep.vcf.gz	3e9153fb62a94d8d6efd298ef061ebba	118966	released
c1ed08fa-60e5-4385-9c32-7731b4cfb75c	33021526-459f-4456-afc6-88b811e6179e_gdc_realn_rehead.bam	2473f63fceaacf1f58f1c3c8df5084eb	7505515833	released
3756b8ec-ccf0-4c79-891f-d07bf9887407	TCGA-CS-5390-01A-02R-1469-13_mirna_gdc_realn.bam	3440e7ceb451ebe45b4c27929aa8af9b	147264240	released
234473da-957e-488f-9eb8-d82e1d0ced0a	e203830e-599c-4a7e-ad0c-cc90244a32c5_gdc_realn_rehead.bam	2f89629d50eacad1b8046c9d445b842f	7299557972	released
30285668-17c4-4091-b8d1-6f0d27d3f091	TCGA-LGG.827c762f-75c6-4901-8d90-0a9d7e0c0a50.ascat2.allelic_specific.seg.txt	c562475ffdcb5f1887faed8904bf59ba	5042	released
0603463f-bc98-440b-a6f0-898b159998d0	85c34238-b4c4-4229-82a9-f81a2e874ae1.mirbase21.isoforms.quantification.txt	d1666a1b4c726bf7e459e6c0fc270e93	485196	released
8a591bfc-4d69-478a-918e-d890a9058775	8a591bfc-4d69-478a-918e-d890a9058775.vep.vcf.gz	7e6887cdefeaf4109292018b1d94beb2	861892	released
bf0d02e7-c939-4dfb-80a1-8537a8f8703f	TCGA-HT-7480-01Z-00-DX1.42E0C267-020A-464E-9652-2068BEC181B8.svs	0aca06208adbde9281107ee8f9ad8d3d	111223955	released
f4157385-547a-49e4-9410-0b10c72246de	WAGER_p_TCGA_282_284_285_286_N_GenomeWideSNP_6_F05_1359100.nocnv_grch38.seg.v2.txt	3d9ddd6a3fd36448b3abfa16d26208a9	7793	released
433f2de8-044e-4cd9-b68a-3ff274b97570	e55c4713-d1d3-4e95-8270-0d0f33e5c85f.mirbase21.mirnas.quantification.txt	9c24278ba6e15cb48033433503f64ee9	50412	released
b2468f91-624a-4108-ba5b-df26985e5f53	nationwidechildrens.org_ssf.TCGA-P5-A72Z.xml	b752f54b24f742713090779ab8203f74	16088	released
1b0e602b-4b93-4a23-9f5f-4ded2dcafd58	TCGA-CS-6667-01A-01-TS1.f143a39e-a29c-4023-86a8-25f995c0ba1a.svs	6f48708caf3de8043a142b41eeaeb087	68511851	released
a37d255c-aae6-4583-8e89-e0c286648db1	C494.TCGA-DB-A64R-01A-11D-A29Q-08.1_gdc_realn.bam	15a52b0d8baecdd506dff7153cd50fd0	9001023344	released
7227d501-62fb-459a-92c0-25006be104eb	nationwidechildrens.org_ssf.TCGA-DU-5847.xml	4d9a405b5980b316e9656665ef38e82a	16850	released
034274ab-19b2-4839-bad5-8823669ab0e6	DREES_p_TCGAb_346_347_NSP_GenomeWideSNP_6_G01_1373784.nocnv_grch38.seg.v2.txt	83ede7edba440c913a5151a72c08fce8	8571	released
637d71f7-5b52-483c-b754-ea5a054c93d1	FRUIT_p_TCGAb_327_328_329_NSP_GenomeWideSNP_6_G07_1367982.nocnv_grch38.seg.v2.txt	36eb8469ca55f1a54159aeea2b06afbf	3750	released
0972fef6-c5ed-4c42-97a9-0c9e3e5d1605	TCGA-FG-8182-01A-01-TS1.d624b518-a7fd-445c-95b3-a76c84c738ab.svs	75da405b618c63286d454e54bba9f3e8	104970937	released
a225d9fe-8a65-416f-b18f-aec38f4e4353	RICER_p_TCGA_245_N_GenomeWideSNP_6_C05_1270884.grch38.seg.v2.txt	b5455895d7674c0a3f5ed2f028850230	33922	released
